status,enrollment_state,authors,share_of_status
Helpful,earnedIn,23908,0.9523581899298916
Helpful,earnedOutAcknowledged,660,0.026290630975143402
Helpful,removed,262,0.010436583811344805
Helpful,atRisk,236,0.00940089228808158
Helpful,newUser,38,0.0015137029955385596
NMR,earnedIn,167453,0.9001784735138855
NMR,earnedOutAcknowledged,14419,0.07751233725043274
NMR,removed,2040,0.010966444829106236
NMR,newUser,1603,0.008617260324047693
NMR,atRisk,507,0.0027254840825278732
Not Helpful,earnedOutAcknowledged,9486,0.4874113657383619
Not Helpful,earnedIn,9151,0.4701983352173466
Not Helpful,newUser,419,0.021529133696434076
Not Helpful,removed,387,0.019884903915322168
Not Helpful,atRisk,19,0.0009762614325351968
